DATE,U11STI
1992-01-01,26169
1992-02-01,25992
1992-03-01,25367
1992-04-01,24766
1992-05-01,24749
1992-06-01,24509
1992-07-01,25271
1992-08-01,26524
1992-09-01,26756
1992-10-01,28051
1992-11-01,27683
1992-12-01,26562
1993-01-01,27058
1993-02-01,26573
1993-03-01,25758
1993-04-01,25532
1993-05-01,25232
1993-06-01,25102
1993-07-01,25669
1993-08-01,26486
1993-09-01,26767
1993-10-01,27866
1993-11-01,27663
1993-12-01,26749
1994-01-01,27400
1994-02-01,26867
1994-03-01,26571
1994-04-01,26364
1994-05-01,26126
1994-06-01,25680
1994-07-01,26670
1994-08-01,27659
1994-09-01,28165
1994-10-01,29404
1994-11-01,28869
1994-12-01,27722
1995-01-01,28245
1995-02-01,27871
1995-03-01,27447
1995-04-01,26928
1995-05-01,26544
1995-06-01,26435
1995-07-01,27054
1995-08-01,28075
1995-09-01,29138
1995-10-01,30623
1995-11-01,30315
1995-12-01,29440
1996-01-01,29521
1996-02-01,29324
1996-03-01,28724
1996-04-01,28757
1996-05-01,28093
1996-06-01,27845
1996-07-01,28367
1996-08-01,29144
1996-09-01,29993
1996-10-01,31060
1996-11-01,31022
1996-12-01,29751
1997-01-01,29455
1997-02-01,29441
1997-03-01,29037
1997-04-01,28764
1997-05-01,28241
1997-06-01,28197
1997-07-01,28467
1997-08-01,29296
1997-09-01,29980
1997-10-01,31674
1997-11-01,31246
1997-12-01,30152
1998-01-01,30346
1998-02-01,30294
1998-03-01,29353
1998-04-01,29028
1998-05-01,28487
1998-06-01,28198
1998-07-01,28556
1998-08-01,29062
1998-09-01,29731
1998-10-01,31217
1998-11-01,30541
1998-12-01,29419
1999-01-01,29714
1999-02-01,29458
1999-03-01,28723
1999-04-01,28630
1999-05-01,28273
1999-06-01,27975
1999-07-01,28540
1999-08-01,29199
1999-09-01,30318
1999-10-01,32219
1999-11-01,31830
1999-12-01,30650
2000-01-01,31069
2000-02-01,31291
2000-03-01,30980
2000-04-01,30731
2000-05-01,30566
2000-06-01,30285
2000-07-01,30834
2000-08-01,31483
2000-09-01,31927
2000-10-01,33371
2000-11-01,32863
2000-12-01,31882
2001-01-01,33057
2001-02-01,31462
2001-03-01,30813
2001-04-01,30534
2001-05-01,30309
2001-06-01,29774
2001-07-01,30237
2001-08-01,30572
2001-09-01,30980
2001-10-01,32202
2001-11-01,31874
2001-12-01,30308
2002-01-01,30590
2002-02-01,30532
2002-03-01,29716
2002-04-01,29883
2002-05-01,29601
2002-06-01,29725
2002-07-01,30421
2002-08-01,31311
2002-09-01,31802
2002-10-01,33422
2002-11-01,32800
2002-12-01,31334
2003-01-01,31433
2003-02-01,31816
2003-03-01,31426
2003-04-01,30822
2003-05-01,30944
2003-06-01,30591
2003-07-01,30930
2003-08-01,31613
2003-09-01,32065
2003-10-01,34022
2003-11-01,33463
2003-12-01,31465
2004-01-01,31403
2004-02-01,31570
2004-03-01,31306
2004-04-01,30957
2004-05-01,31123
2004-06-01,31125
2004-07-01,31675
2004-08-01,32117
2004-09-01,32533
2004-10-01,34081
2004-11-01,33182
2004-12-01,32123
2005-01-01,31880
2005-02-01,32202
2005-03-01,31889
2005-04-01,32257
2005-05-01,31761
2005-06-01,31729
2005-07-01,32305
2005-08-01,32937
2005-09-01,33631
2005-10-01,35358
2005-11-01,34556
2005-12-01,33195
2006-01-01,33808
2006-02-01,34020
2006-03-01,33380
2006-04-01,33135
2006-05-01,32893
2006-06-01,33153
2006-07-01,33707
2006-08-01,34426
2006-09-01,35317
2006-10-01,37748
2006-11-01,37221
2006-12-01,36018
2007-01-01,36051
2007-02-01,36309
2007-03-01,35886
2007-04-01,36321
2007-05-01,37463.0
2007-06-01,38292
2007-07-01,38637
2007-08-01,40021.0
2007-09-01,41125.0
2007-10-01,42616
2007-11-01,41721
2007-12-01,40712
2008-01-01,41203
2008-02-01,41548
2008-03-01,41476
2008-04-01,41434
2008-05-01,41243
2008-06-01,41878
2008-07-01,42206
2008-08-01,42594
2008-09-01,42821.0
2008-10-01,44363.0
2008-11-01,43253
2008-12-01,40964
2009-01-01,40798
2009-02-01,40291
2009-03-01,39520
2009-04-01,39325
2009-05-01,39539
2009-06-01,38975
2009-07-01,39645
2009-08-01,40334
2009-09-01,40148
2009-10-01,42552
2009-11-01,42065
2009-12-01,40865
2010-01-01,40621
2010-02-01,40738
2010-03-01,39808
2010-04-01,39906.0
2010-05-01,39894
2010-06-01,39748
2010-07-01,40694
2010-08-01,41952
2010-09-01,43327.0
2010-10-01,45944
2010-11-01,45168
2010-12-01,44193
2011-01-01,44071.0
2011-02-01,44297
2011-03-01,44287
2011-04-01,44643
2011-05-01,45098.0
2011-06-01,45507
2011-07-01,46934.0
2011-08-01,48218.0
2011-09-01,48398.0
2011-10-01,51189.0
2011-11-01,50363
2011-12-01,48793
2012-01-01,49047
2012-02-01,49378.0
2012-03-01,48619.0
2012-04-01,48411
2012-05-01,48079.0
2012-06-01,48056.0
2012-07-01,49026.0
2012-08-01,50384
2012-09-01,51245.0
2012-10-01,54507
2012-11-01,53508
2012-12-01,51645
2013-01-01,51397.0
2013-02-01,51161.0
2013-03-01,50518.0
2013-04-01,50921.0
2013-05-01,50880.0
2013-06-01,50111.0
2013-07-01,51311.0
2013-08-01,52185.0
2013-09-01,52563.0
2013-10-01,55476.0
2013-11-01,54917.0
2013-12-01,51674
2014-01-01,51852.0
2014-02-01,52007.0
2014-03-01,51646.0
2014-04-01,51932.0
2014-05-01,52103.0
2014-06-01,52364.0
2014-07-01,53433.0
2014-08-01,54342.0
2014-09-01,54434.0
2014-10-01,57149.0
2014-11-01,55938.0
2014-12-01,52966.0
2015-01-01,53024.0
2015-02-01,52465.0
2015-03-01,51665.0
2015-04-01,51892.0
2015-05-01,52007.0
2015-06-01,51643.0
2015-07-01,53246.0
2015-08-01,54496.0
2015-09-01,55108.0
2015-10-01,57819.0
2015-11-01,56110.0
2015-12-01,53291.0
2016-01-01,53628.0
2016-02-01,53450.0
2016-03-01,52836.0
2016-04-01,53291.0
2016-05-01,52633.0
2016-06-01,52621.0
2016-07-01,53516.0
2016-08-01,54683.0
2016-09-01,54616.0
2016-10-01,56903.0
2016-11-01,56001.0
2016-12-01,53616.0
2017-01-01,54023.0
2017-02-01,54169.0
2017-03-01,53203.0
2017-04-01,53111.0
2017-05-01,53023.0
2017-06-01,53254.0
2017-07-01,53897.0
2017-08-01,54719.0
2017-09-01,54989.0
2017-10-01,57507.0
2017-11-01,56246.0
2017-12-01,54147.0
2018-01-01,54134.0
2018-02-01,54519.0
2018-03-01,53707.0
2018-04-01,53722.0
2018-05-01,53341.0
2018-06-01,53053.0
2018-07-01,53482.0
2018-08-01,54491.0
2018-09-01,54913.0
2018-10-01,56732.0
2018-11-01,55272.0
2018-12-01,53313.0
2019-01-01,53569.0
2019-02-01,53807.0
