Date,Employees
1/1/1990,1064.5
2/1/1990,1074.5
3/1/1990,1090
4/1/1990,1097.4
5/1/1990,1108.7
6/1/1990,1123.5
7/1/1990,1134.2
8/1/1990,1137.4
9/1/1990,1128.8
10/1/1990,1106.8
11/1/1990,1104.3
12/1/1990,1106.4
1/1/1991,1067
2/1/1991,1082.6
3/1/1991,1097.1
4/1/1991,1121.9
5/1/1991,1138.1
6/1/1991,1148.6
7/1/1991,1148.2
8/1/1991,1151.7
9/1/1991,1141.9
10/1/1991,1121.4
11/1/1991,1119.3
12/1/1991,1122.3
1/1/1992,1071.5
2/1/1992,1083
3/1/1992,1096
4/1/1992,1116
5/1/1992,1126.6
6/1/1992,1134.2
7/1/1992,1143.7
8/1/1992,1144.7
9/1/1992,1137.8
10/1/1992,1116.3
11/1/1992,1112.2
12/1/1992,1112.7
1/1/1993,1084.1
2/1/1993,1092.4
3/1/1993,1103.8
4/1/1993,1117
5/1/1993,1136.6
6/1/1993,1149.3
7/1/1993,1148.2
8/1/1993,1153.7
9/1/1993,1150
10/1/1993,1129.3
11/1/1993,1123.2
12/1/1993,1133.5
1/1/1994,1097.9
2/1/1994,1112.4
3/1/1994,1124.6
4/1/1994,1137.5
5/1/1994,1155
6/1/1994,1170.2
7/1/1994,1170.2
8/1/1994,1174
9/1/1994,1170.7
10/1/1994,1147
11/1/1994,1145.7
12/1/1994,1154.5
1/1/1995,1123.9
2/1/1995,1140.5
3/1/1995,1157
4/1/1995,1171.5
5/1/1995,1193.2
6/1/1995,1208.6
7/1/1995,1209.6
8/1/1995,1217.8
9/1/1995,1213.1
10/1/1995,1189.6
11/1/1995,1192.4
12/1/1995,1199.6
1/1/1996,1175.2
2/1/1996,1194.5
3/1/1996,1211.3
4/1/1996,1215.3
5/1/1996,1238.7
6/1/1996,1243.5
7/1/1996,1249
8/1/1996,1255.4
9/1/1996,1242.9
10/1/1996,1230.9
11/1/1996,1230.8
12/1/1996,1240.9
1/1/1997,1188.8
2/1/1997,1205.7
3/1/1997,1224.7
4/1/1997,1241.2
5/1/1997,1259.9
6/1/1997,1277.4
7/1/1997,1259.1
8/1/1997,1268.1
9/1/1997,1254.7
10/1/1997,1230.6
11/1/1997,1227.8
12/1/1997,1230.1
1/1/1998,1206.5
2/1/1998,1227.8
3/1/1998,1242.1
4/1/1998,1257
5/1/1998,1271.1
6/1/1998,1288.4
7/1/1998,1293.8
8/1/1998,1298.6
9/1/1998,1291.2
10/1/1998,1266.3
11/1/1998,1265.9
12/1/1998,1279.1
1/1/1999,1236.1
2/1/1999,1256.3
3/1/1999,1276.3
4/1/1999,1288.6
5/1/1999,1308.2
6/1/1999,1321.4
7/1/1999,1330.9
8/1/1999,1331.4
9/1/1999,1326.4
10/1/1999,1308.6
11/1/1999,1305.2
12/1/1999,1315
1/1/2000,1268.1
