Date,Money
1/1/1995,3492.4
2/1/1995,3489.9
3/1/1995,3491.1
4/1/1995,3499.2
5/1/1995,3524.2
6/1/1995,3548.9
7/1/1995,3567.4
8/1/1995,3589
9/1/1995,3602.1
10/1/1995,3613.4
11/1/1995,3619.9
12/1/1995,3629.5
1/1/1996,3647.9
2/1/1996,3661.9
3/1/1996,3687
4/1/1996,3697.8
5/1/1996,3709.7
6/1/1996,3722.7
7/1/1996,3737.3
8/1/1996,3744.3
9/1/1996,3753.7
10/1/1996,3771
11/1/1996,3790.2
12/1/1996,3810.5
1/1/1997,3824.8
2/1/1997,3836.4
3/1/1997,3851.3
4/1/1997,3867.4
5/1/1997,3879.2
6/1/1997,3896
7/1/1997,3913.9
8/1/1997,3947.5
9/1/1997,3963.2
10/1/1997,3982.3
11/1/1997,4004.8
12/1/1997,4023
1/1/1998,4046.3
2/1/1998,4079
3/1/1998,4104.6
4/1/1998,4130.3
5/1/1998,4154.2
6/1/1998,4174.1
7/1/1998,4193.8
8/1/1998,4218.8
9/1/1998,4257.7
10/1/1998,4297.8
11/1/1998,4336.8
12/1/1998,4365.7
1/1/1999,4393.1
2/1/1999,4415.8
3/1/1999,4422.7
4/1/1999,4451.3
5/1/1999,4475.5
6/1/1999,4497.3
7/1/1999,4524.6
8/1/1999,4541.8
9/1/1999,4557.9
10/1/1999,4581.6
11/1/1999,4600.6
12/1/1999,4628.1
1/1/2000,4656.3
2/1/2000,4669.6
3/1/2000,4700.4
4/1/2000,4756.2
5/1/2000,4743.7
6/1/2000,4761.5
7/1/2000,4779
8/1/2000,4807.2
9/1/2000,4842.8
10/1/2000,4858.8
11/1/2000,4869.7
12/1/2000,4914.4
1/1/2001,4965
2/1/2001,5003.2
3/1/2001,5061.1
4/1/2001,5125
5/1/2001,5121.8
6/1/2001,5162.1
7/1/2001,5192
8/1/2001,5225.9
9/1/2001,5336.5
10/1/2001,5323
11/1/2001,5366.5
12/1/2001,5419.6
1/1/2002,5440.1
2/1/2002,5469.6
3/1/2002,5481.6
4/1/2002,5481.6
5/1/2002,5507.2
6/1/2002,5532.2
7/1/2002,5574.8
8/1/2002,5617.3
9/1/2002,5641.8
10/1/2002,5686.3
11/1/2002,5736.3
12/1/2002,5757.5
1/1/2003,5790.4
2/1/2003,5826.7
3/1/2003,5847.3
4/1/2003,5884.8
5/1/2003,5945.1
6/1/2003,5981.7
7/1/2003,6028.4
8/1/2003,6086.5
9/1/2003,6058.3
10/1/2003,6049.4
11/1/2003,6054.5
12/1/2003,6052.6
1/1/2004,6061.1
2/1/2004,6100.2
3/1/2004,6136
4/1/2004,6177.1
5/1/2004,6254
6/1/2004,6256.3
7/1/2004,6270
8/1/2004,6296.3
9/1/2004,6331
10/1/2004,6359.2
11/1/2004,6385.7
12/1/2004,6404.3
1/1/2005,6410.6
2/1/2005,6419
3/1/2005,6427.9
4/1/2005,6442
5/1/2005,6459.2
6/1/2005,6491.6
7/1/2005,6523.2
8/1/2005,6556
9/1/2005,6589.8
10/1/2005,6624.1
11/1/2005,6640.7
12/1/2005,6667.4
1/1/2006,6709.9
2/1/2006,6734.2
3/1/2006,6748.5
4/1/2006,6785.6
5/1/2006,6792.3
6/1/2006,6830.2
7/1/2006,6871.6
8/1/2006,6902.3
9/1/2006,6929.4
10/1/2006,6978.8
11/1/2006,7013.6
12/1/2006,7056.8
1/1/2007,7094.8
2/1/2007,7110.6
3/1/2007,7144.3
4/1/2007,7216.5
5/1/2007,7230.1
6/1/2007,7263.3
7/1/2007,7293.6
8/1/2007,7370
9/1/2007,7388.1
10/1/2007,7402.1
11/1/2007,7427.1
12/1/2007,7457.3
1/1/2008,7491.1
2/1/2008,7575.8
3/1/2008,7641.7
4/1/2008,7684.6
5/1/2008,7696.5
6/1/2008,7714
7/1/2008,7760.4
8/1/2008,7775.5
9/1/2008,7845.5
10/1/2008,7954
11/1/2008,8004.6
12/1/2008,8181.1
1/1/2009,8262.4
2/1/2009,8291.7
3/1/2009,8357.8
4/1/2009,8360.8
5/1/2009,8418.1
6/1/2009,8427.7
7/1/2009,8432.5
8/1/2009,8432
9/1/2009,8431.1
10/1/2009,8458.2
11/1/2009,8488.3
12/1/2009,8483.4
1/1/2010,8445.6
2/1/2010,8495.2
3/1/2010,8492.3
4/1/2010,8522.6
5/1/2010,8577.4
6/1/2010,8596.5
7/1/2010,8606.1
8/1/2010,8656.4
9/1/2010,8687.4
10/1/2010,8736.6
11/1/2010,8757.2
12/1/2010,8789.1
1/1/2011,8825.8
2/1/2011,8871.2
3/1/2011,8915.6
4/1/2011,8977.8
5/1/2011,9029.1
6/1/2011,9113.3
7/1/2011,9301.2
8/1/2011,9514.9
9/1/2011,9539.5
10/1/2011,9571.1
11/1/2011,9612.1
12/1/2011,9650.9
1/1/2012,9730.2
2/1/2012,9773
3/1/2012,9817.7
4/1/2012,9872.1
5/1/2012,9903.7
6/1/2012,9973.5
7/1/2012,10046.6
8/1/2012,10117.7
9/1/2012,10200
10/1/2012,10261.3
11/1/2012,10319.8
12/1/2012,10445.6
1/1/2013,10471.4
2/1/2013,10468.3
3/1/2013,10539.8
4/1/2013,10575.1
5/1/2013,10611.3
6/1/2013,10665.7
7/1/2013,10721.7
8/1/2013,10780.1
9/1/2013,10832.5
10/1/2013,10945.4
11/1/2013,10953.1
12/1/2013,11015.7
1/1/2014,11066.2
2/1/2014,11148.7
3/1/2014,11190.3
4/1/2014,11246.7
5/1/2014,11314.4
6/1/2014,11366.6
7/1/2014,11427.8
8/1/2014,11457.1
9/1/2014,11492
10/1/2014,11552.4
11/1/2014,11591.5
12/1/2014,11670.1
1/1/2015,11733.2
2/1/2015,11852.4
3/1/2015,11868.8
4/1/2015,11916.1
5/1/2015,11947.6
6/1/2015,11993.1
7/1/2015,12045.3
8/1/2015,12096.8
9/1/2015,12153.8
10/1/2015,12187.7
11/1/2015,12277.4
12/1/2015,12335.9
