DATE,TRFVOLUSM227NFWA
1970-01-01,80173
1970-02-01,77442
1970-03-01,90223
1970-04-01,89956
1970-05-01,97972
1970-06-01,100035
1970-07-01,106392
1970-08-01,106969
1970-09-01,95254
1970-10-01,96317
1970-11-01,89684
1970-12-01,89911
1971-01-01,85336
1971-02-01,80118
1971-03-01,92974
1971-04-01,98106
1971-05-01,103655
1971-06-01,105433
1971-07-01,112466
1971-08-01,112642
1971-09-01,101290
1971-10-01,102525
1971-11-01,95555
1971-12-01,95515
1972-01-01,92465
1972-02-01,88272
1972-03-01,102926
1972-04-01,103238
1972-05-01,110945
1972-06-01,113265
1972-07-01,118594
1972-08-01,119913
1972-09-01,108072
1972-10-01,108841
1972-11-01,100791
1972-12-01,101040
1973-01-01,96664
1973-02-01,92567
1973-03-01,107490
1973-04-01,108120
1973-05-01,114819
1973-06-01,115859
1973-07-01,121685
1973-08-01,124426
1973-09-01,110332
1973-10-01,113089
1973-11-01,104381
1973-12-01,98856
1974-01-01,95030
1974-02-01,86426
1974-03-01,100736
1974-04-01,104579
1974-05-01,112167
1974-06-01,113888
1974-07-01,120890
1974-08-01,124070
1974-09-01,109125
1974-10-01,112572
1974-11-01,105079
1974-12-01,105083
1975-01-01,98342
1975-02-01,91303
1975-03-01,106070
1975-04-01,107133
1975-05-01,116659
1975-06-01,118388
1975-07-01,124493
1975-08-01,126103
1975-09-01,111399
1975-10-01,115250
1975-11-01,106990
1975-12-01,107945
1976-01-01,102460
1976-02-01,98528
1976-03-01,114284
1976-04-01,117014
1976-05-01,123278
1976-06-01,124128
1976-07-01,130891
1976-08-01,131913
1976-09-01,119431
1976-10-01,121210
1976-11-01,112996
1976-12-01,113030
1977-01-01,102445
1977-02-01,102416
1977-03-01,119960
1977-04-01,121513
1977-05-01,128884
1977-06-01,129321
1977-07-01,136199
1977-08-01,136337
1977-09-01,124203
1977-10-01,127388
1977-11-01,118486
1977-12-01,116257
1978-01-01,109838
1978-02-01,107018
1978-03-01,125035
1978-04-01,122741
1978-05-01,134427
1978-06-01,138883
1978-07-01,148209
1978-08-01,149461
1978-09-01,131385
1978-10-01,132930
1978-11-01,123690
1978-12-01,124595
1979-01-01,114354
1979-02-01,109650
1979-03-01,131406
1979-04-01,129539
1979-05-01,132394
1979-06-01,131192
1979-07-01,134853
1979-08-01,139942
1979-09-01,127576
1979-10-01,131619
1979-11-01,123381
1979-12-01,123226
1980-01-01,116462
1980-02-01,107338
1980-03-01,125179
1980-04-01,125698
1980-05-01,131269
1980-06-01,131679
1980-07-01,136250
1980-08-01,138666
1980-09-01,127482
1980-10-01,132615
1980-11-01,123420
1980-12-01,124798
1981-01-01,116049
1981-02-01,109765
1981-03-01,127798
1981-04-01,128465
1981-05-01,134305
1981-06-01,135545
1981-07-01,141253
1981-08-01,143464
1981-09-01,131185
1981-10-01,133216
1981-11-01,124804
1981-12-01,124421
1982-01-01,109757
1982-02-01,107512
1982-03-01,128182
1982-04-01,129845
1982-05-01,140283
1982-06-01,142111
1982-07-01,152200
1982-08-01,153300
1982-09-01,136311
1982-10-01,138780
1982-11-01,127061
1982-12-01,127139
1983-01-01,119436
1983-02-01,111828
1983-03-01,132814
1983-04-01,132741
1983-05-01,143619
1983-06-01,146738
1983-07-01,156823
1983-08-01,157649
1983-09-01,139938
1983-10-01,144044
1983-11-01,133700
1983-12-01,129776
1984-01-01,122529
1984-02-01,117483
1984-03-01,137307
1984-04-01,141327
1984-05-01,151046
1984-06-01,153403
1984-07-01,161702
1984-08-01,164920
1984-09-01,146074
1984-10-01,147610
1984-11-01,137272
1984-12-01,136095
1985-01-01,124122
1985-02-01,119367
1985-03-01,144424
1985-04-01,147635
1985-05-01,156726
1985-06-01,158703
1985-07-01,166881
1985-08-01,169437
1985-09-01,150424
1985-10-01,154587
1985-11-01,140872
1985-12-01,141584
1986-01-01,132998
1986-02-01,123526
1986-03-01,151183
1986-04-01,150277
1986-05-01,160459
1986-06-01,162370
1986-07-01,171114
1986-08-01,173977
1986-09-01,155462
1986-10-01,159434
1986-11-01,147813
1986-12-01,149628
1987-01-01,139918
1987-02-01,135996
1987-03-01,157573
1987-04-01,159801
1987-05-01,167776
1987-06-01,167826
1987-07-01,175783
1987-08-01,177378
1987-09-01,164184
1987-10-01,166836
1987-11-01,155676
1987-12-01,155580
1988-01-01,148879
1988-02-01,141748
1988-03-01,167836
1988-04-01,166804
1988-05-01,178042
1988-06-01,178690
1988-07-01,184779
1988-08-01,184503
1988-09-01,171072
1988-10-01,175478
1988-11-01,162957
1988-12-01,164798
1989-01-01,159750
1989-02-01,146732
1989-03-01,174990
1989-04-01,174320
1989-05-01,184823
1989-06-01,184094
1989-07-01,190985
1989-08-01,194172
1989-09-01,177326
1989-10-01,182583
1989-11-01,169735
1989-12-01,167530
1990-01-01,163600
1990-02-01,153559
1990-03-01,178771
1990-04-01,179033
1990-05-01,189247
1990-06-01,189529
1990-07-01,195470
1990-08-01,197057
1990-09-01,178415
1990-10-01,182634
1990-11-01,171565
1990-12-01,168621
1991-01-01,157889
1991-02-01,153351
1991-03-01,179076
1991-04-01,179538
1991-05-01,191929
1991-06-01,193467
1991-07-01,198387
1991-08-01,204063
1991-09-01,183594
1991-10-01,188445
1991-11-01,169693
1991-12-01,172782
1992-01-01,167652
1992-02-01,160204
1992-03-01,183778
1992-04-01,186069
1992-05-01,196725
1992-06-01,197232
1992-07-01,206616
1992-08-01,204753
1992-09-01,190908
1992-10-01,194836
1992-11-01,177380
1992-12-01,180999
1993-01-01,171680
1993-02-01,162844
1993-03-01,187869
1993-04-01,188737
1993-05-01,205981
1993-06-01,199414
1993-07-01,209838
1993-08-01,209634
1993-09-01,193765
1993-10-01,197793
1993-11-01,182322
1993-12-01,186828
1994-01-01,169314
1994-02-01,166444
1994-03-01,196190
1994-04-01,195407
1994-05-01,206594
1994-06-01,207280
1994-07-01,214778
1994-08-01,215045
1994-09-01,200511
1994-10-01,202864
1994-11-01,190074
