DATE,MinTemp,MaxTemp,AvgTemp,AvgWindSpeed,Sunrise,Sunset
12/1/2014,3,36,20,65.1,700,1608
12/2/2014,1,22,12,34.7,702,1607
12/3/2014,8,32,20,53,703,1607
12/4/2014,-5,9,2,60.2,704,1607
12/5/2014,6,17,12,30.5,705,1607
12/6/2014,11,29,20,31.5,706,1606
12/7/2014,-2,13,6,62.3,707,1606
12/8/2014,12,22,17,20.6,708,1606
12/9/2014,17,25,21,46.9,709,1606
12/10/2014,21,32,27,34.4,710,1606
12/11/2014,16,26,21,21.6,711,1606
12/12/2014,8,18,13,22.4,711,1606
12/13/2014,11,23,17,42.9,712,1606
12/14/2014,18,29,24,32.5,713,1607
12/15/2014,24,41,33,15.8,714,1607
12/16/2014,23,35,29,27.8,714,1607
12/17/2014,16,31,24,24.9,715,1607
12/18/2014,6,16,11,57.5,716,1608
12/19/2014,6,23,15,27,716,1608
12/20/2014,16,25,21,16.4,717,1608
12/21/2014,9,21,15,18.3,718,1609
12/22/2014,9,23,16,20.7,718,1609
12/23/2014,17,35,26,19.3,719,1610
12/24/2014,33,44,39,40.3,719,1611
12/25/2014,13,44,29,71.4,719,1611
12/26/2014,13,19,16,69.1,720,1612
12/27/2014,15,30,23,50.5,720,1613
12/28/2014,4,30,17,59.8,720,1613
12/29/2014,-10,7,-2,60.5,721,1614
12/30/2014,-14,-6,-10,51.4,721,1615
12/31/2014,-13,-8,-11,50.8,721,1616
1/1/2015,-8,3,-3,50.8,721,1617
1/2/2015,-13,4,-5,61.7,721,1618
1/3/2015,-13,12,-1,46.4,721,1619
1/4/2015,11,39,25,58,721,1620
1/5/2015,-24,19,-3,86.5,721,1621
1/6/2015,-24,-11,-18,51.3,721,1622
1/7/2015,-34,-6,-20,39.3,721,1623
1/8/2015,-33,-4,-19,60,720,1624
1/9/2015,-9,0,-5,61.9,720,1625
1/10/2015,-13,-7,-10,52.3,720,1626
1/11/2015,-12,7,-3,55.8,720,1627
1/12/2015,-4,14,5,59.3,719,1628
1/13/2015,-10,12,1,31.5,719,1630
1/14/2015,10,17,14,15.3,718,1631
1/15/2015,6,19,13,22.4,718,1632
1/16/2015,-25,12,-7,69.3,717,1633
1/17/2015,-25,17,-4,55.4,717,1635
1/18/2015,12,28,20,53.9,716,1636
1/19/2015,2,27,15,53.2,715,1637
1/20/2015,-8,5,-2,72.4,715,1638
1/21/2015,1,14,8,27.9,714,1640
1/22/2015,-6,16,5,23.2,713,1641
1/23/2015,-5,12,4,50.6,712,1642
1/24/2015,5,22,14,36,712,1644
1/25/2015,-17,9,-4,71.5,711,1645
1/26/2015,-11,13,1,23.8,710,1646
1/27/2015,-9,6,-2,65.1,709,1648
1/28/2015,-6,15,5,44.2,708,1649
1/29/2015,8,20,14,28.7,707,1651
1/30/2015,-8,14,3,28.5,706,1652
1/31/2015,-13,0,-7,65.6,705,1653
2/1/2015,-14,2,-6,67,704,1655
2/2/2015,-9,8,-1,26.3,703,1656
2/3/2015,-19,-7,-13,61.3,701,1658
2/4/2015,-8,14,3,45.3,700,1659
2/5/2015,-24,10,-7,51.8,659,1700
2/6/2015,-22,-4,-13,49.2,658,1702
2/7/2015,-11,1,-5,57.6,656,1703
2/8/2015,0,8,4,25.5,655,1704
2/9/2015,0,16,8,17.9,654,1706
2/10/2015,8,19,14,29.8,652,1707
2/11/2015,13,30,22,12.8,651,1709
2/12/2015,-16,14,-1,32.2,650,1710
2/13/2015,-25,-10,-18,55.9,648,1711
2/14/2015,-15,-1,-8,31.6,647,1713
2/15/2015,-35,0,-18,55.9,645,1714
2/16/2015,-35,-4,-20,91.2,644,1716
2/17/2015,-6,2,-2,16,642,1717
2/18/2015,-7,4,-2,22.7,641,1718
2/19/2015,-23,3,-10,28.2,639,1720
2/20/2015,-26,-15,-21,63,638,1721
2/21/2015,-17,8,-5,43.9,636,1722
2/22/2015,4,16,10,41,634,1724
2/23/2015,-35,4,-16,71.3,633,1725
2/24/2015,-32,1,-16,46.6,631,1726
2/25/2015,-14,-1,-8,45.4,630,1728
2/26/2015,-15,5,-5,34.4,628,1729
2/27/2015,-13,-5,-9,33.9,626,1730
2/28/2015,-11,4,-4,30.8,625,1732
3/1/2015,0,11,6,34.4,623,1733
3/2/2015,-12,5,-4,66.3,621,1734
3/3/2015,-13,19,3,52.8,619,1736
3/4/2015,3,16,10,65.5,618,1737
3/5/2015,-17,4,-7,51.8,616,1738
3/6/2015,-17,-1,-9,35.1,614,1740
3/7/2015,-9,5,-2,39.2,612,1741
3/8/2015,0,7,4,35,611,1742
3/9/2015,2,12,7,59,609,1743
3/10/2015,11,28,20,43.6,607,1745
3/11/2015,12,28,20,66.3,605,1746
3/12/2015,-9,13,2,66.1,604,1747
3/13/2015,-9,16,4,49.8,602,1749
3/14/2015,14,27,21,32.6,600,1750
3/15/2015,-2,24,11,38.5,558,1751
3/16/2015,3,23,13,37.6,556,1752
3/17/2015,-10,24,7,53.8,554,1754
3/18/2015,-17,-9,-13,84.7,553,1755
3/19/2015,-17,5,-6,66.5,551,1756
3/20/2015,2,20,11,21.5,549,1757
3/21/2015,-2,21,10,32.3,547,1759
3/22/2015,-18,-1,-10,81.5,545,1800
3/23/2015,-23,10,-7,58.6,543,1801
3/24/2015,7,15,11,17.3,542,1802
3/25/2015,9,26,18,31.2,540,1804
3/26/2015,17,29,23,46,538,1805
3/27/2015,11,22,17,23,536,1806
3/28/2015,-5,14,5,15.6,534,1807
3/29/2015,-4,18,7,23.2,532,1808
3/30/2015,11,16,14,52.7,531,1810
3/31/2015,4,12,8,46.8,529,1811
4/1/2015,-3,7,2,49.8,527,1812
4/2/2015,5,34,20,52.1,525,1813
4/3/2015,25,35,30,42.9,523,1815
4/4/2015,1,31,16,53.1,521,1816
4/5/2015,0,9,5,42.9,520,1817
4/6/2015,5,24,15,41,518,1818
4/7/2015,13,23,18,33,516,1819
4/8/2015,13,30,22,13.5,514,1821
4/9/2015,14,30,22,18,513,1822
4/10/2015,22,44,33,58.7,511,1823
