Date,Spending
1/1/1995,4851.2
2/1/1995,4850.8
3/1/1995,4885.4
4/1/1995,4890.2
5/1/1995,4933.1
6/1/1995,4977.5
7/1/1995,4970.2
8/1/1995,5005.3
9/1/1995,5020.5
10/1/1995,5013.9
11/1/1995,5055.6
12/1/1995,5097.5
1/1/1996,5085.7
2/1/1996,5132.8
3/1/1996,5173.3
4/1/1996,5208
5/1/1996,5223.8
6/1/1996,5229.8
7/1/1996,5251.9
8/1/1996,5275
9/1/1996,5296.6
10/1/1996,5328.5
11/1/1996,5351.2
12/1/1996,5378.6
1/1/1997,5411.1
2/1/1997,5434
3/1/1997,5454.2
4/1/1997,5459.3
5/1/1997,5460.2
6/1/1997,5494.2
7/1/1997,5548.8
8/1/1997,5587
9/1/1997,5601.7
10/1/1997,5637.7
11/1/1997,5661.1
12/1/1997,5692.1
1/1/1998,5689.9
2/1/1998,5723.8
3/1/1998,5750.3
4/1/1998,5788.1
5/1/1998,5837.9
6/1/1998,5871.7
7/1/1998,5890
8/1/1998,5925
9/1/1998,5965.6
10/1/1998,5998.8
11/1/1998,6015.4
12/1/1998,6070.5
1/1/1999,6072.9
2/1/1999,6101.8
3/1/1999,6132.9
4/1/1999,6196.2
5/1/1999,6225.7
6/1/1999,6254
7/1/1999,6281.5
8/1/1999,6326.5
9/1/1999,6378.8
10/1/1999,6402.1
11/1/1999,6437.9
12/1/1999,6538.7
1/1/2000,6535.3
2/1/2000,6619.7
3/1/2000,6685.8
4/1/2000,6671.1
5/1/2000,6707.6
6/1/2000,6743.9
7/1/2000,6764.1
8/1/2000,6799.1
9/1/2000,6882.9
10/1/2000,6888.2
11/1/2000,6902.4
12/1/2000,6945.7
1/1/2001,6977
2/1/2001,6995.8
3/1/2001,6987.9
4/1/2001,7001.2
5/1/2001,7047.1
6/1/2001,7060.7
7/1/2001,7072.2
8/1/2001,7108.9
9/1/2001,7012.8
10/1/2001,7208.4
11/1/2001,7167.9
12/1/2001,7147.7
1/1/2002,7174.3
2/1/2002,7218.3
3/1/2002,7237.2
4/1/2002,7305.4
5/1/2002,7282.7
6/1/2002,7318.2
7/1/2002,7380.4
8/1/2002,7401.5
9/1/2002,7391
10/1/2002,7430.7
11/1/2002,7459.7
12/1/2002,7512.8
1/1/2003,7533.1
2/1/2003,7535.9
3/1/2003,7598.4
4/1/2003,7621
5/1/2003,7628.1
6/1/2003,7678.6
7/1/2003,7738.2
8/1/2003,7834.5
9/1/2003,7835
10/1/2003,7845.7
11/1/2003,7899.6
12/1/2003,7929.2
1/1/2004,7987.4
2/1/2004,8019.8
3/1/2004,8076
4/1/2004,8088.6
5/1/2004,8163.2
6/1/2004,8147.2
7/1/2004,8218.9
8/1/2004,8253.1
9/1/2004,8321.1
10/1/2004,8374.6
