Date,CatFood
12/1/1985,100
1/1/1986,100
2/1/1986,100
3/1/1986,100
4/1/1986,100.1
5/1/1986,100.1
6/1/1986,100.1
7/1/1986,103.2
8/1/1986,103.2
9/1/1986,103.3
10/1/1986,103.2
11/1/1986,103.2
12/1/1986,103.4
1/1/1987,103.4
2/1/1987,105
3/1/1987,105.1
4/1/1987,105.4
5/1/1987,105.4
6/1/1987,106.3
7/1/1987,106.5
8/1/1987,106.5
9/1/1987,106.4
10/1/1987,106.7
11/1/1987,106.9
12/1/1987,108.1
1/1/1988,103
2/1/1988,103
3/1/1988,103
4/1/1988,103.5
5/1/1988,103.5
6/1/1988,103.8
7/1/1988,106.9
8/1/1988,105.5
9/1/1988,106.3
10/1/1988,106.6
11/1/1988,106.5
12/1/1988,106.8
1/1/1989,106.5
2/1/1989,111.4
3/1/1989,111.2
4/1/1989,110.9
5/1/1989,110.8
6/1/1989,109.9
7/1/1989,109.9
8/1/1989,109.9
9/1/1989,109.9
10/1/1989,109.9
11/1/1989,113.4
12/1/1989,113.4
1/1/1990,113.4
2/1/1990,113.4
3/1/1990,113.3
4/1/1990,113.3
5/1/1990,113.3
6/1/1990,113.9
7/1/1990,113.9
8/1/1990,113.7
9/1/1990,114
10/1/1990,113.6
11/1/1990,113.6
12/1/1990,113.7
1/1/1991,113.7
2/1/1991,113.7
3/1/1991,113.8
4/1/1991,104.6
5/1/1991,120.4
6/1/1991,120.4
7/1/1991,120.5
8/1/1991,120.5
9/1/1991,120.6
10/1/1991,120.7
11/1/1991,120.7
12/1/1991,120.7
1/1/1992,120.8
2/1/1992,117.9
3/1/1992,117.9
4/1/1992,116.3
5/1/1992,116
6/1/1992,116
7/1/1992,116
8/1/1992,116.4
9/1/1992,114.2
10/1/1992,115.8
11/1/1992,115.8
12/1/1992,115.8
1/1/1993,116
2/1/1993,116.4
3/1/1993,116.5
4/1/1993,117.9
5/1/1993,117.8
6/1/1993,117.9
7/1/1993,117.8
8/1/1993,116.6
9/1/1993,116.6
10/1/1993,117.4
11/1/1993,117.4
12/1/1993,117.5
1/1/1994,117.5
2/1/1994,117.8
3/1/1994,117.8
4/1/1994,117.7
5/1/1994,117.7
6/1/1994,117.7
7/1/1994,117.7
8/1/1994,117.6
9/1/1994,117.6
10/1/1994,114.3
11/1/1994,114.3
12/1/1994,114.3
1/1/1995,114.2
2/1/1995,114.2
3/1/1995,114.2
4/1/1995,114.2
5/1/1995,114.2
6/1/1995,114.2
7/1/1995,114.2
8/1/1995,114.3
9/1/1995,114.3
10/1/1995,114.5
11/1/1995,114.8
12/1/1995,115
1/1/1996,115.1
2/1/1996,118.9
3/1/1996,120
4/1/1996,120
5/1/1996,120
6/1/1996,120
7/1/1996,121.3
8/1/1996,121.3
9/1/1996,121.5
10/1/1996,121.5
11/1/1996,122.7
12/1/1996,122.7
1/1/1997,122.9
2/1/1997,122.9
3/1/1997,122.9
4/1/1997,121.9
5/1/1997,121.9
6/1/1997,121.6
7/1/1997,121.6
8/1/1997,121.6
9/1/1997,121.6
10/1/1997,121.5
11/1/1997,121.5
12/1/1997,121.5
1/1/1998,121.5
2/1/1998,121.5
3/1/1998,121.5
4/1/1998,121.4
5/1/1998,121.4
6/1/1998,121.4
7/1/1998,121.4
