Date,DogFood
12/1/1985,100
1/1/1986,100.2
2/1/1986,100.3
3/1/1986,100.2
4/1/1986,100.7
5/1/1986,100.7
6/1/1986,100.9
7/1/1986,101.2
8/1/1986,101.2
9/1/1986,101.1
10/1/1986,100.9
11/1/1986,101
12/1/1986,101.3
1/1/1987,101.6
2/1/1987,101.6
3/1/1987,101.8
4/1/1987,101.8
5/1/1987,102.1
6/1/1987,103
7/1/1987,103.8
8/1/1987,103.5
9/1/1987,103.5
10/1/1987,103.9
11/1/1987,104.2
12/1/1987,105.2
1/1/1988,105.4
2/1/1988,105.3
3/1/1988,105.6
4/1/1988,105.8
5/1/1988,106.1
6/1/1988,107.5
7/1/1988,112
8/1/1988,111.7
9/1/1988,111.6
10/1/1988,113.4
11/1/1988,113.5
12/1/1988,113.6
1/1/1989,114.5
2/1/1989,114.9
3/1/1989,114.7
4/1/1989,115.5
5/1/1989,115.7
6/1/1989,115.1
7/1/1989,116
8/1/1989,116.5
9/1/1989,116.7
10/1/1989,116.8
11/1/1989,116.6
12/1/1989,116.6
1/1/1990,116.5
2/1/1990,116.4
3/1/1990,116.8
4/1/1990,116.8
5/1/1990,116.9
6/1/1990,117.1
7/1/1990,119.1
8/1/1990,119.4
9/1/1990,119.6
10/1/1990,119.5
11/1/1990,119.4
12/1/1990,120.1
1/1/1991,119.8
2/1/1991,120
3/1/1991,120.6
4/1/1991,120.9
5/1/1991,120.9
6/1/1991,122.1
7/1/1991,121.9
8/1/1991,122.2
9/1/1991,122.4
10/1/1991,122.7
11/1/1991,122.5
12/1/1991,123
1/1/1992,123.4
2/1/1992,124.5
3/1/1992,124.2
4/1/1992,123.2
5/1/1992,123.1
6/1/1992,123.3
7/1/1992,123.3
8/1/1992,123
9/1/1992,123.2
10/1/1992,125
11/1/1992,124.9
12/1/1992,125.2
1/1/1993,125.7
2/1/1993,125.6
3/1/1993,126.2
4/1/1993,127.1
5/1/1993,127.1
6/1/1993,127.3
7/1/1993,127.2
8/1/1993,128.8
9/1/1993,129.1
10/1/1993,129.6
11/1/1993,128
12/1/1993,128.9
1/1/1994,128.9
2/1/1994,130.1
3/1/1994,131.4
4/1/1994,131.3
5/1/1994,131.2
6/1/1994,130.8
7/1/1994,130.9
8/1/1994,130.7
9/1/1994,130.8
10/1/1994,129.6
11/1/1994,129.3
12/1/1994,129.6
1/1/1995,129.5
2/1/1995,129.9
3/1/1995,129.7
4/1/1995,130.4
5/1/1995,130.8
6/1/1995,130.9
7/1/1995,130.9
8/1/1995,130.9
9/1/1995,130.5
10/1/1995,131.3
11/1/1995,132.3
12/1/1995,133.1
1/1/1996,132.6
2/1/1996,136.6
3/1/1996,137.8
4/1/1996,137.8
5/1/1996,138.4
6/1/1996,138.9
7/1/1996,139.1
8/1/1996,139
9/1/1996,138.7
10/1/1996,138.6
11/1/1996,139
12/1/1996,139.1
1/1/1997,139.3
2/1/1997,139.4
3/1/1997,139.6
4/1/1997,139.4
5/1/1997,139.4
6/1/1997,139.5
7/1/1997,139.3
8/1/1997,139.3
9/1/1997,139.2
10/1/1997,139.1
11/1/1997,138.8
12/1/1997,139.2
1/1/1998,139.5
2/1/1998,139.5
3/1/1998,139.2
4/1/1998,139.2
5/1/1998,139.1
6/1/1998,139
7/1/1998,139
8/1/1998,138.5
9/1/1998,138.6
10/1/1998,138.3
11/1/1998,137.9
12/1/1998,138.3
1/1/1999,138.1
2/1/1999,138.1
