Date,Employees
1/1/1990,69.1
2/1/1990,69.2
3/1/1990,69.9
4/1/1990,69.7
5/1/1990,69.8
6/1/1990,70.7
7/1/1990,71.9
8/1/1990,71.6
9/1/1990,71.4
10/1/1990,71.8
11/1/1990,71.5
12/1/1990,71.5
1/1/1991,72.6
2/1/1991,72.4
3/1/1991,72.3
4/1/1991,72.6
5/1/1991,72.2
6/1/1991,72.2
7/1/1991,71.9
8/1/1991,71.3
9/1/1991,71
10/1/1991,71.8
11/1/1991,71.6
12/1/1991,71.9
1/1/1992,71.5
2/1/1992,71.3
3/1/1992,71.8
4/1/1992,72.1
5/1/1992,71.6
6/1/1992,72.1
7/1/1992,71.5
8/1/1992,71.4
9/1/1992,71.2
10/1/1992,71.7
11/1/1992,72.2
12/1/1992,72.4
1/1/1993,73.6
2/1/1993,73.5
3/1/1993,73.3
4/1/1993,72.9
5/1/1993,72.4
6/1/1993,71.9
7/1/1993,70.8
8/1/1993,70.7
9/1/1993,70.4
10/1/1993,70.1
11/1/1993,70.2
12/1/1993,70.8
1/1/1994,70.3
2/1/1994,70.5
3/1/1994,70.5
4/1/1994,70
5/1/1994,70.4
6/1/1994,71
7/1/1994,70.5
8/1/1994,70.4
9/1/1994,69.9
10/1/1994,69.8
11/1/1994,69.2
12/1/1994,70.9
1/1/1995,71.2
2/1/1995,71
3/1/1995,71.2
4/1/1995,70.4
5/1/1995,70.4
6/1/1995,71.1
7/1/1995,70.6
8/1/1995,70.5
9/1/1995,70.5
10/1/1995,68.2
11/1/1995,68.6
12/1/1995,68.5
1/1/1996,67.5
2/1/1996,67.8
3/1/1996,68.2
4/1/1996,68.6
5/1/1996,69.1
6/1/1996,69.4
7/1/1996,67.8
8/1/1996,68.3
9/1/1996,68.1
10/1/1996,67.8
11/1/1996,68
12/1/1996,68.3
1/1/1997,67.1
2/1/1997,67.3
3/1/1997,67.3
4/1/1997,68.2
5/1/1997,68.2
6/1/1997,68.4
7/1/1997,67.6
8/1/1997,67.9
9/1/1997,67.8
10/1/1997,67.6
11/1/1997,67.6
12/1/1997,68.1
1/1/1998,67.9
2/1/1998,68.2
3/1/1998,68.5
4/1/1998,68
5/1/1998,68
6/1/1998,68.1
7/1/1998,68.5
8/1/1998,68.5
9/1/1998,68.5
10/1/1998,68.1
11/1/1998,68.6
12/1/1998,68.6
1/1/1999,67.2
2/1/1999,67.6
3/1/1999,67.6
4/1/1999,67.2
5/1/1999,67.2
6/1/1999,67.5
7/1/1999,68.2
8/1/1999,68.2
9/1/1999,68.4
10/1/1999,68.5
11/1/1999,68.9
12/1/1999,69.5
1/1/2000,67.7
2/1/2000,68.4
3/1/2000,69.2
4/1/2000,69.8
5/1/2000,70.1
6/1/2000,70.5
7/1/2000,69.8
8/1/2000,69.9
9/1/2000,69.8
10/1/2000,69.3
11/1/2000,69.3
12/1/2000,70.2
1/1/2001,69
