Date,Rides,PRCP,TMAX,TMIN,AWND,GustSpeed2,Fog,HeavyFog,Thunder
6/4/2016,7,0.1,86,67,4.9,13,1,0,0
6/5/2016,12,0,88,68,5.8,14.1,0,0,0
6/6/2016,19,0,90,70,4.3,13,0,0,0
6/7/2016,22,0,92,69,2,8.1,0,0,0
6/8/2016,35,0,92,70,2.7,12.1,1,0,0
6/9/2016,55,0,92,71,4.7,19.9,1,0,0
6/10/2016,45,0,91,69,3.1,10.1,0,0,0
6/11/2016,51,0,93,76,5.8,12.1,1,0,0
6/12/2016,44,0,94,77,5.8,14.1,0,0,0
6/13/2016,14,0,94,76,5.4,12.1,0,0,0
6/14/2016,26,0,94,78,6.3,12.1,0,0,0
6/15/2016,15,0,96,78,6.5,13,0,0,0
6/16/2016,87,0,96,75,6.3,14.1,1,0,0
6/17/2016,262,0,97,76,5.8,10.1,0,0,0
6/18/2016,413,0,96,76,4.3,10.1,0,0,0
6/19/2016,388,0,94,77,3.8,12.1,0,0,0
6/20/2016,109,0,95,75,3.6,8.9,0,0,0
6/21/2016,89,0,96,75,4,8.9,0,0,0
6/22/2016,175,0,96,76,5.6,13,0,0,0
6/23/2016,154,0,95,75,6.3,14.1,0,0,0
6/24/2016,234,0,93,75,5.8,13,0,0,0
6/25/2016,530,0.02,88,77,4.9,10.1,1,0,1
6/26/2016,474,0,95,76,4.9,13,1,0,0
6/27/2016,119,0,96,75,1.8,8.1,0,0,0
6/28/2016,91,0.33,101,72,3.4,25.9,1,0,1
6/29/2016,111,0,96,71,2.2,8.9,0,0,0
6/30/2016,163,0,94,76,3.6,10.1,0,0,0
7/1/2016,308,0,96,74,4.7,10.1,0,0,0
7/2/2016,731,0,98,76,6.5,14.1,0,0,0
7/3/2016,799,0,98,78,7.8,15,0,0,0
7/4/2016,469,0,99,80,8.1,14.1,0,0,0
7/5/2016,300,0,99,79,8.3,16.1,0,0,0
7/6/2016,187,0,100,79,7.8,16.1,0,0,0
7/7/2016,214,0,99,79,8.7,16.1,0,0,0
7/8/2016,268,0,100,79,7.6,16.1,0,0,0
