Date,Inventories
1/1/1997,1301161
2/1/1997,1307080
3/1/1997,1303978
4/1/1997,1319740
5/1/1997,1327294
6/1/1997,1334688
7/1/1997,1342310
8/1/1997,1348243
9/1/1997,1355839
10/1/1997,1364970
11/1/1997,1370492
12/1/1997,1378022
1/1/1998,1384404
2/1/1998,1397707
3/1/1998,1410167
4/1/1998,1417122
5/1/1998,1419449
6/1/1998,1420897
7/1/1998,1422905
8/1/1998,1427365
9/1/1998,1433847
10/1/1998,1439499
11/1/1998,1447969
12/1/1998,1447814
1/1/1999,1452973
2/1/1999,1462122
3/1/1999,1473310
4/1/1999,1476429
5/1/1999,1479614
6/1/1999,1481030
7/1/1999,1487323
8/1/1999,1490333
9/1/1999,1495805
10/1/1999,1503112
11/1/1999,1514635
12/1/1999,1524132
1/1/2000,1524001
2/1/2000,1526667
3/1/2000,1528547
4/1/2000,1536838
5/1/2000,1542432
6/1/2000,1550692
7/1/2000,1556524
8/1/2000,1562943
9/1/2000,1564299
10/1/2000,1575214
11/1/2000,1582264
12/1/2000,1580917
1/1/2001,1582741
2/1/2001,1573301
3/1/2001,1565421
4/1/2001,1569481
5/1/2001,1570708
6/1/2001,1563177
7/1/2001,1556460
8/1/2001,1556143
9/1/2001,1552602
10/1/2001,1536333
11/1/2001,1524347
12/1/2001,1525165
1/1/2002,1531528
2/1/2002,1527437
3/1/2002,1526330
4/1/2002,1527589
5/1/2002,1532081
6/1/2002,1537610
7/1/2002,1542296
8/1/2002,1542090
9/1/2002,1546915
10/1/2002,1546331
11/1/2002,1550656
12/1/2002,1558272
1/1/2003,1560578
2/1/2003,1567829
3/1/2003,1567763
4/1/2003,1568316
5/1/2003,1564403
6/1/2003,1562940
7/1/2003,1562001
8/1/2003,1556297
9/1/2003,1562025
10/1/2003,1566433
11/1/2003,1568729
12/1/2003,1570539
1/1/2004,1569042
2/1/2004,1576929
3/1/2004,1582863
4/1/2004,1585653
5/1/2004,1591503
6/1/2004,1599200
7/1/2004,1608600
8/1/2004,1615741
9/1/2004,1612955
10/1/2004,1620774
11/1/2004,1629938
12/1/2004,1631021
1/1/2005,1645553
2/1/2005,1655465
3/1/2005,1658874
4/1/2005,1660685
5/1/2005,1659607
6/1/2005,1662317
7/1/2005,1658649
8/1/2005,1662692
9/1/2005,1667928
10/1/2005,1675844
11/1/2005,1680516
12/1/2005,1689169
1/1/2006,1695662
2/1/2006,1694174
3/1/2006,1703497
4/1/2006,1707158
5/1/2006,1714176
6/1/2006,1720314
7/1/2006,1721834
8/1/2006,1730258
9/1/2006,1736178
10/1/2006,1735465
11/1/2006,1742619
12/1/2006,1742696
1/1/2007,1742199
2/1/2007,1746527
3/1/2007,1745838
4/1/2007,1750582
5/1/2007,1753264
6/1/2007,1756731
7/1/2007,1756867
8/1/2007,1763164
9/1/2007,1769841
10/1/2007,1773728
11/1/2007,1776207
12/1/2007,1781578
1/1/2008,1789818
2/1/2008,1787911
3/1/2008,1778978
4/1/2008,1775600
5/1/2008,1769829
6/1/2008,1772317
7/1/2008,1777256
8/1/2008,1773966
9/1/2008,1764426
10/1/2008,1756904
11/1/2008,1755209
12/1/2008,1741177
1/1/2009,1734667
