County,State,2010Census,2017PopEstimate
Abbeville County,South Carolina,25417,24722
Acadia Parish,Louisiana,61773,62590
Accomack County,Virginia,33164,32545
Ada County,Idaho,392365,456849
Adair County,Iowa,7682,7054
Adair County,Kentucky,18656,19485
Adair County,Missouri,25607,25377
Adair County,Oklahoma,22683,21909
Adams County,Colorado,441603,503167
Adams County,Idaho,3976,4147
Adams County,Illinois,67103,66234
Adams County,Indiana,34387,35491
Adams County,Iowa,4029,3686
Adams County,Mississippi,32297,31003
Adams County,Nebraska,31364,31678
Adams County,North Dakota,2343,2318
Adams County,Ohio,28550,27726
Adams County,Pennsylvania,101407,102336
Adams County,Washington,18728,19506
Adams County,Wisconsin,20875,19973
Addison County,Vermont,36821,36776
Aiken County,South Carolina,160099,168179
Aitkin County,Minnesota,16202,15829
Alachua County,Florida,247336,266944
Alamance County,North Carolina,151131,162391
Alameda County,California,1510271,1663190
Alamosa County,Colorado,15445,16551
Albany County,New York,304204,309612
Albany County,Wyoming,36299,38332
Albemarle County,Virginia,98970,107702
Alcona County,Michigan,10942,10351
Alcorn County,Mississippi,37057,37210
Aleutians East Borough,Alaska,3141,3370
Aleutians West Census Area,Alaska,5561,5763
Alexander County,Illinois,8238,6315
Alexander County,North Carolina,37198,37286
Alexandria city,Virginia,139966,160035
Alfalfa County,Oklahoma,5642,5907
Alger County,Michigan,9601,9121
Allamakee County,Iowa,14330,13884
Allegan County,Michigan,111408,116447
Allegany County,Maryland,75087,71615
Allegany County,New York,48946,46894
Alleghany County,North Carolina,11155,11031
Alleghany County,Virginia,16250,15122
Allegheny County,Pennsylvania,1223348,1223048
Allen County,Indiana,355329,372877
Allen County,Kansas,13371,12519
Allen County,Kentucky,19956,20933
Allen County,Ohio,106331,103198
Allen Parish,Louisiana,25764,25621
Allendale County,South Carolina,10419,9002
Alpena County,Michigan,29598,28462
Alpine County,California,1175,1120
Amador County,California,38091,38626
Amelia County,Virginia,12690,13020
Amherst County,Virginia,32353,31594
Amite County,Mississippi,13131,12447
Anchorage Municipality,Alaska,291826,294356
Anderson County,Kansas,8102,7833
Anderson County,Kentucky,21421,22544
Anderson County,South Carolina,187126,198759
Anderson County,Tennessee,75129,76257
Anderson County,Texas,58458,57741
Andrew County,Missouri,17291,17555
Andrews County,Texas,14786,17722
Androscoggin County,Maine,107702,107651
Angelina County,Texas,86771,87805
Anne Arundel County,Maryland,537656,573235
Anoka County,Minnesota,330844,351373
Anson County,North Carolina,26948,24991
Antelope County,Nebraska,6685,6362
Antrim County,Michigan,23580,23292
Apache County,Arizona,71518,71606
Appanoose County,Iowa,12887,12352
Appling County,Georgia,18236,18521
Appomattox County,Virginia,14973,15681
Aransas County,Texas,23158,25572
Arapahoe County,Colorado,572003,643052
Archer County,Texas,9054,8809
Archuleta County,Colorado,12084,13315
Arenac County,Michigan,15899,15045
Arkansas County,Arkansas,19019,17967
Arlington County,Virginia,207627,234965
Armstrong County,Pennsylvania,68941,65642
Armstrong County,Texas,1901,1879
Aroostook County,Maine,71870,67653
Arthur County,Nebraska,460,457
Ascension Parish,Louisiana,107215,122948
Ashe County,North Carolina,27281,26957
Ashland County,Ohio,53139,53628
Ashland County,Wisconsin,16157,15500
Ashley County,Arkansas,21853,20283
Ashtabula County,Ohio,101497,97807
Asotin County,Washington,21623,22535
Assumption Parish,Louisiana,23421,22526
Atascosa County,Texas,44911,48981
Atchison County,Kansas,16924,16332
Atchison County,Missouri,5685,5275
Athens County,Ohio,64757,66597
Atkinson County,Georgia,8375,8342
Atlantic County,New Jersey,274549,269918
Atoka County,Oklahoma,14182,13887
Attala County,Mississippi,19564,18477
Audrain County,Missouri,25529,25641
Audubon County,Iowa,6119,5578
Auglaize County,Ohio,45949,45778
Augusta County,Virginia,73750,75144
Aurora County,South Dakota,2710,2738
Austin County,Texas,28417,29786
Autauga County,Alabama,54571,55504
Avery County,North Carolina,17797,17536
Avoyelles Parish,Louisiana,42073,40980
Baca County,Colorado,3788,3562
Bacon County,Georgia,11096,11319
Bailey County,Texas,7165,7077
Baker County,Florida,27115,28283
Baker County,Georgia,3451,3200
Baker County,Oregon,16134,16054
Baldwin County,Alabama,182265,212628
Baldwin County,Georgia,45720,44906
Ballard County,Kentucky,8249,8039
Baltimore city,Maryland,620961,611648
Baltimore County,Maryland,805029,832468
Bamberg County,South Carolina,15987,14381
Bandera County,Texas,20485,22351
Banks County,Georgia,18395,18634
Banner County,Nebraska,690,742
Bannock County,Idaho,82839,85269
Baraga County,Michigan,8860,8441
