Year,Discharge
1807,864.884
1808,1033.141
1809,826.923
1810,1018.777
1811,1118.296
1812,1100.854
1813,978.765
1814,1132.659
1815,1291.683
1816,1466.096
1817,964.402
1818,819.742
1819,954.143
1820,1092.646
1821,945.935
1822,1037.244
1823,1143.944
1824,1112.139
1825,895.663
1826,1075.206
1827,1043.401
1828,888.481
1829,1044.426
1830,1271.164
1831,809.482
1832,918.234
1833,961.324
1834,844.365
1835,890.533
1836,1163.438
1837,986.973
1838,1054.686
1839,895.663
1840,1097.776
1841,915.156
1842,1179.853
1843,1119.321
1844,1043.401
1845,1237.307
1846,1180.879
1847,872.066
1848,957.221
1849,1079.309
1850,1173.697
1851,1083.413
1852,1239.359
1853,851.546
1854,1177.801
1855,954.143
1856,783.833
1857,701.756
1858,872.066
1859,1228.073
1860,1043.401
1861,851.546
1862,903.87
1863,961.324
1864,762.288
1865,960.298
1866,1260.904
1867,1006.466
1868,1010.57
1869,795.119
1870,1004.414
1871,915.156
1872,1021.855
1873,836.157
1874,846.417
1875,1347.084
1876,1164.464
1877,1139.841
1878,1138.814
1879,919.26
1880,1170.619
1881,871.04
1882,1256.801
1883,903.87
1884,679.185
1885,978.765
1886,849.495
1887,1131.633
1888,1062.894
1889,998.259
1890,1006.466
1891,1047.504
1892,805.378
1893,798.197
1894,846.417
1895,1128.556
1896,1354.266
1897,972.61
1898,955.169
1899,949.013
1900,1016.726
1901,1054.686
1902,972.61
1903,1018.777
1904,1004.414
1905,1115.218
1906,966.454
1907,949.013
1908,818.716
1909,1368.629
1910,974.662
1911,1069.049
1912,1066.998
1913,1303.994
1914,1100.854
1915,1196.269
1916,1149.074
1917,935.675
1918,1123.426
1919,1111.114
1920,610.446
1921,1152.152
1922,1103.932
1923,1265.008
1924,796.145
1925,1178.827
1926,1207.554
1927,944.909
1928,928.493
1929,1032.114
1930,1395.304
1931,983.895
1932,925.416
1933,805.378
1934,1081.361
1935,1331.696
1936,1242.437
1937,996.207
1938,1091.621
1939,1395.304
1940,1172.671
1941,920.286
1942,809.482
1943,867.962
1944,1234.229
1945,1057.764
1946,759.21
1947,1085.464
1948,653.536
1949,776.651
1950,1180.879
1951,976.714
1952,1193.191
1953,939.779
1954,1287.579
1955,1070.076
1956,1059.816
