,a,b,c
1/1/1950,36,27,0
2/1/1950,58,22,3
3/1/1950,61,17,5
4/1/1950,37,15,8
5/1/1950,66,13,8
6/1/1950,55,16,19
7/1/1950,60,24,24
8/1/1950,54,16,33
9/1/1950,49,25,44
10/1/1950,65,27,60
11/1/1950,55,26,69
12/1/1950,45,22,85
1/1/1951,31,23,104
2/1/1951,37,20,116
3/1/1951,66,19,139
4/1/1951,50,33,162
5/1/1951,53,21,183
6/1/1951,65,24,202
7/1/1951,55,27,227
8/1/1951,68,19,252
9/1/1951,47,40,281
10/1/1951,44,34,314
11/1/1951,55,36,345
12/1/1951,35,26,377
1/1/1952,53,31,405
2/1/1952,66,31,444
3/1/1952,52,41,478
4/1/1952,34,40,515
5/1/1952,34,43,550
6/1/1952,70,43,597
7/1/1952,34,35,632
8/1/1952,62,25,676
9/1/1952,53,29,726
10/1/1952,35,45,765
11/1/1952,53,42,819
12/1/1952,68,43,861
1/1/1953,30,43,917
2/1/1953,42,43,968
3/1/1953,61,41,1018
4/1/1953,57,42,1075
5/1/1953,36,33,1132
6/1/1953,59,43,1186
7/1/1953,46,48,1244
8/1/1953,55,50,1306
9/1/1953,53,35,1365
10/1/1953,62,41,1430
11/1/1953,56,39,1493
12/1/1953,42,52,1556
1/1/1954,31,44,1628
2/1/1954,42,36,1694
3/1/1954,48,54,1764
4/1/1954,38,42,1840
5/1/1954,63,45,1908
6/1/1954,62,45,1986
7/1/1954,36,44,2061
8/1/1954,51,50,2137
9/1/1954,44,49,2215
10/1/1954,52,56,2292
11/1/1954,45,47,2374
12/1/1954,55,39,2456
1/1/1955,69,45,2543
2/1/1955,37,46,2626
3/1/1955,47,48,2713
4/1/1955,70,41,2802
5/1/1955,46,43,2893
6/1/1955,66,55,2985
7/1/1955,48,50,3073
8/1/1955,61,53,3166
9/1/1955,56,49,3267
10/1/1955,46,47,3359
11/1/1955,35,60,3460
12/1/1955,39,49,3560
1/1/1956,43,49,3661
2/1/1956,32,46,3764
3/1/1956,61,63,3866
4/1/1956,68,57,3974
5/1/1956,45,59,4081
6/1/1956,61,68,4188
7/1/1956,30,50,4297
8/1/1956,70,67,4405
9/1/1956,44,69,4517
10/1/1956,53,61,4633
11/1/1956,51,59,4750
12/1/1956,43,57,4862
1/1/1957,30,63,4984
2/1/1957,48,57,5103
3/1/1957,65,63,5224
4/1/1957,58,55,5347
5/1/1957,34,55,5468
6/1/1957,65,58,5595
7/1/1957,68,69,5720
8/1/1957,49,57,5848
9/1/1957,37,76,5978
10/1/1957,32,74,6108
11/1/1957,36,59,6235
12/1/1957,69,64,6374
1/1/1958,44,72,6505
2/1/1958,57,72,6644
3/1/1958,43,63,6781
4/1/1958,55,61,6920
5/1/1958,45,71,7060
6/1/1958,46,71,7203
7/1/1958,60,62,7347
8/1/1958,54,70,7494
9/1/1958,68,73,7636
10/1/1958,49,63,7783
11/1/1958,63,75,7935
12/1/1958,45,66,8081
1/1/1959,45,76,8239
2/1/1959,62,79,8389
3/1/1959,60,65,8545
4/1/1959,58,84,8699
5/1/1959,56,74,8856
6/1/1959,41,74,9014
7/1/1959,46,70,9178
8/1/1959,49,73,9338
9/1/1959,41,77,9502
10/1/1959,64,70,9667
11/1/1959,37,87,9833
12/1/1959,38,73,10000
